;marca;preco
126;Notebook Acer Aspire 5 A515-54-505q, Intel Core I5 10a Gen, 8GB RAM, 256 GB SSD, Tela 15.6 Full HD, Windows 11 Home, Preto;R$ 4.099,99
127;Notebook Avell A70 HYB, Intel Core I7, 16GB RAM, SSD 500GB, Tela 15.6 HD, GeForce RTX 3060, Windows 11;R$ 10.599,00
128;Notebook Compaq Pressario 431 I3-6157u 4gb 128gb Ssd 14  Shell Efi;R$ 2.407,68
129;"Notebook Lenovo Ultrafino Ideapad 3 R7-5700U, 8GB, 256GB SSD, Linux, 15.6"", Cinza - 82MFS00200";R$ 3.255,12
130;"Notebook Acer Aspire 5 Intel Core i5 11a Geração 1135G7 4.20Ghz 8GB DDR4 Gráficos Intel Iris X 512GB SSD NVMe 15.6"" Full HD Windows 11 A515-56-57LB";R$ 4.041,00
131;Notebook Lenovo Ultrafino IdeaPad 3 Ryzen 5-5500U, 8GB RAM, SSD 256GB, Tela 15.6 Full HD, Windows 11, Prata - 82MF0003BR;R$ 3.499,99
132;Notebook Gamer Asus TUF F15 Intel Core i5-11400H, GeForce RTX 3050, 8GB RAM, SSD 512GB, 15.6, Windows 11, Cinza - FX506HC-HN353W;R$ 7.399,99
133;Notebook Samsung Galaxy Book2 Intel Core i5-1235U, 8GB RAM, SSD 512GB, 15.6 Full HD, Iris Xe Graphic, Windows 11, Grafite - NP550XED-KF3BR;R$ 5.599,99
134;Notebook Dell XPS 13 Plus Ultraportátil Intel Core i7-1260P EVO, 16GB RAM, SSD 1TB, 13.4 Full HD, Iris Xe, Windows 11, Cinza Grafite - X13-i1200-A10;R$ 10.999,99
135;Notebook Asus AMD Ryzen 7-3700U, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 11, Cinza - M515DA-BR1454W;R$ 4.399,99
136;Notebook Acer Aspire 5 Intel Core i5-1035G1, 4GB RAM, SSD 256GB NVMe, 14 HD Ultrafino, UHD Graphics, Windows 10 Home, Prata - A514-53-5239;R$ 3.199,99
137;Notebook Samsung Chromebook, Intel Celeron N4020, 4GB, 32GB, 11.6 Polegadas HD LED - XE310XBA-KT3BR;R$ 1.827,00
138;Notebook Lenovo Ultrafino Ideapad Ryzen 5-5500U, 8GB, 256GB SSD, 15.6 Full HD, Linux, Cinza - 82MFS00100;R$ 3.299,99
139;Notebook Lenovo IdeaPad 3i Intel Core i7-1165G7, 8GB RAM, 256GB SSD, 15.6 Full HD, Windows 11, Cinza - 82MD0008BR;R$ 4.399,99
140;Notebook Acer Aspire 5 Ryzen 7-5700U, 8GB RAM, SSD 256 NVMe, 15.6 Full HD, AMD Radion Graphic RX640, Windows 11, Prata - A515-45G-R3BM;R$ 4.999,99
141;Notebook HP Intel Core i5-1035G1, 8GB RAM, 256GB SSD, 15.6, Windows 11 Pro, Preto - 640Z5LA;R$ 3.999,99
142;"Notebook Asus X543ma Intel Celeron Dual Core N4020 4gb Ram Hd 500gb Tela 15.60"" Windows 10 Home - X543ma-dm1317t";R$ 2.060,46
143;Notebook Lenovo Ideapad 3i I5-1135g7 8GB, 256GB, SSD W11 15.6Polegadas- 82-md000jbr;R$ 3.167,12
144;"Notebook Lenovo Ultrafino Ideapad 3i, I3-10110u, 4GB, 128GB SSD, Linux, 15.6"", Prata - 82bss00000";R$ 3.034,49
145;Notebook Gamer Asus Zephyrus 16, Intel 12ª Geração I9-12900h, 16GB, RTX 3070 TI, SSD 1TB NVME, 16 Pol. WQXGA, Windows 10 Home, Black;R$ 18.300,00
146;Notebook Gamer Acer Nitro 5 An517-54-70y7 Intel Core I7 Linux Gutta 8GB 512GB SSD Rtx 3050 17.3 Polegadas FHD;R$ 6.599,00
147;Notebook Vaio Fe15 AMD Ryzen 7-5700U, 16GB RAM, SSD 512GB, 15.6 Full HD, Windows 11 Home - Prata Titânio;R$ 4.499,00
148;Notebook Asus  Intel I7 1165g7, 20GB RAM, SSD 1TB, 15.6 Polegada LED, Intel Iris Xe, Windows 11, Preto;R$ 6.306,99
149;"Notebook Compaq Presario 430, Intel Core I3-6157U, 4GB, 120GB, W10, 14.1""";R$ 1.845,00
150;Notebook Compaq Presario 420, Intel Pentium N3700, Windows 10, Home 4GB, 120GB SSD, 14'' - Cinza;R$ 1.429,00
151;Notebook Multi Pc312 Legacy, Intel Quad 4GB 64GB 14.1 Pol. HD, Windows 10, Cinza + Microsoft 365 Personal Com 1TB;R$ 1.599,90
152;Notebook Samsung Book Intel Core I3-1115g4, Windows 11 Home, 4Gb, 1tb, 15.6 Full Hd Led Cinza Chumbo;R$ 3.153,49
153;Notebook Samsung Book Intel Core, Windows 11 Home, 8GB, 256GB SSD, Intel Iris Xe, 15.6'' Cinza Chumbo - I7-1165g7;R$ 5.822,49
154;"Notebook Samsung Book 15.6"" Full Hd Intel Dual Core 4gb Ddr4 500gb Windows 11 Cinza Np550xda-kp1br";R$ 1.755,00
155;Notebook Lenovo V14 I7-1165g7 Intel Core i7 11ª Geração 8GB RAM 512GB SSD, 14 Polegadas Full HD, W11 Home, Nvidia Geforce Mx350, 82nm000pbr Preto;R$ 4.927,12
156;"Notebook Gamer Acer Nitro 5 Intel Core I7 8GB Gtx 1650, 512gb Ssd 17.3"" Windows 11 Home - An517-54-76eg";R$ 6.570,94
157;Notebook Samsung Book 15.6 FHD Intel Celeron 6305, 256GB RAM, SSD 4GB, Windows 11 Home, Cinza Chumbo - Np550xda-kp3br;R$ 2.099,00
158;Notebook Asus, Intel Core I5 1035g1 8GB, 512GB SSD, Tela De 15.6'',Cinza - X515JA-EJ1791W;R$ 3.418,10
